2024 General Election: Trump vs Harris,,,,,,
pollster,date,sample,moe,Trump (R),Harris (D),spread
RCP Average,7/22 - 7/28,—,—,48.1,46.2,Trump+1.9
Harvard-Harris,7/26 - 7/28,2196 RV,2.1,52,48,Trump+4
Morning Consult,7/26 - 7/28,11538 RV,1,46,47,Harris+1
Wall Street Journal,7/23 - 7/25,1000 RV,3.1,49,47,Trump+2
Forbes/HarrisX,7/22 - 7/25,3013 RV,1.8,51,49,Trump+2
NY Times/Siena,7/22 - 7/24,1142 LV,—,48,47,Trump+1
Rasmussen Reports,7/22 - 7/24,1074 LV,3,50,43,Trump+7
CNN,7/22 - 7/23,1631 RV,3,49,46,Trump+3
Reuters/Ipsos,7/22 - 7/23,1018 RV,3,42,44,Harris+2
NPR/PBS/Marist,7/22 - 7/22,1117 RV,3.5,46,45,Trump+1
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2024 General Election: Trump vs Biden,,,,,,
pollster,Trump (R),Biden (D),moe,date,sample,spread
RCP Average,47.9,44.8,—,7/7 - 7/21,—,Trump+3.1
Quinnipiac,48,45,2.8,7/19 - 7/21,1257 RV,Trump+3
Forbes/HarrisX,53,47,1.9,7/19 - 7/21,2753 RV,Trump+6
CBS News,52,47,2.7,7/16 - 7/18,2247 LV,Trump+5
Emerson,46,42,2.1,7/15 - 7/16,2000 RV,Trump+4
Morning Consult,46,42,1,7/15 - 7/17,9414 RV,Trump+4
Reuters/Ipsos,43,41,3.3,7/15 - 7/16,992 RV,Trump+2
NPR/PBS/Marist,48,50,3.3,7/9 - 7/10,1174 RV,Biden+2
Rasmussen Reports,49,43,2,7/7 - 7/11,1847 LV,Trump+6
FOX News,49,48,3,7/7 - 7/10,1210 RV,Trump+1
NBC News,45,43,3.5,7/7 - 7/9,800 RV,Trump+2
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
